week,channel,case_type,volume,aht,iso_year,week_key
22,Non-live,Account Takeover,1,34.2,2026,202622
22,Non-live,Booking Information,112,22.1340659340659,2026,202622
22,Non-live,Connectivity Questions,9,29.6571428571429,2026,202622
22,Non-live,Contact Update,4,12.3,2026,202622
22,Non-live,Content Update,41,15.3090909090909,2026,202622
22,Non-live,Customer Review Removal,22,21.6272727272727,2026,202622
22,Non-live,EVC,47,18.195,2026,202622
22,Non-live,Expedia Collect Invoice,103,14.3927710843373,2026,202622
22,Non-live,Hotel Closure Outreach,10,21.12,2026,202622
22,Non-live,Hotel Collect Issue,35,11.9117647058823,2026,202622
22,Non-live,Inventory Closeout,5,15.0,2026,202622
22,Non-live,Known Tool Outage Issue,5,12.84,2026,202622
22,Non-live,Live Site Investigation,4,19.95,2026,202622
22,Non-live,New Contract,5,26.64,2026,202622
22,Non-live,Partner Central Access,43,22.71,2026,202622
22,Non-live,Pre-Onboarding,1,13.2,2026,202622
22,Non-live,Promotion,41,18.7826086956522,2026,202622
22,Non-live,Property Classification,6,31.7,2026,202622
22,Non-live,Property Details,34,9.96428571428571,2026,202622
22,Non-live,Property Photos,5,18.6,2026,202622
22,Non-live,Property Settings,111,18.4022727272727,2026,202622
22,Non-live,Rates & Inventory Changes,98,20.9826086956522,2026,202622
22,Non-live,Refund Request,94,13.6333333333333,2026,202622
22,Non-live,Room Type/Rate Plan,99,21.6130434782609,2026,202622
22,Non-live,Special Check-In Instructions,8,11.76,2026,202622
22,Non-live,Supplier Initiated Relocation,11,10.4666666666667,2026,202622
22,Non-live,Supplier Initiated Traveler Contact,936,9.35769230769231,2026,202622
22,Phone,Booking Information,188,25.8893617021277,2026,202622
22,Phone,Connectivity Questions,2,36.3,2026,202622
22,Phone,Content Update,49,19.725,2026,202622
22,Phone,Customer Review Removal,3,16.2,2026,202622
22,Phone,EVC,205,19.0676470588235,2026,202622
22,Phone,Expedia Collect Invoice,380,17.19,2026,202622
22,Phone,Hotel Collect Issue,177,20.335593220339,2026,202622
22,Phone,Inventory Closeout,3,24.8,2026,202622
22,Phone,Known Tool Outage Issue,1,13.8,2026,202622
22,Phone,Live Site Investigation,11,26.1818181818182,2026,202622
22,Phone,New Contract,18,20.1666666666667,2026,202622
22,Phone,Partner Central Access,56,41.2285714285714,2026,202622
22,Phone,Pre-Onboarding,15,21.32,2026,202622
22,Phone,Promotion,24,21.525,2026,202622
22,Phone,Property Classification,2,16.5,2026,202622
22,Phone,Property Details,6,15.5,2026,202622
22,Phone,Property Photos,1,22.2,2026,202622
22,Phone,Property Settings,114,20.5894736842105,2026,202622
22,Phone,Rates & Inventory Changes,46,32.5043478260869,2026,202622
22,Phone,Refund Request,31,19.8193548387097,2026,202622
22,Phone,Room Type/Rate Plan,29,34.1172413793103,2026,202622
22,Phone,Special Check-In Instructions,2,54.6,2026,202622
22,Phone,Supplier Initiated Relocation,109,18.0495412844037,2026,202622
22,Phone,Supplier Initiated Traveler Contact,1022,15.1908023483366,2026,202622
23,Non-live,Account Takeover,1,15.6,2026,202623
23,Non-live,Booking Information,77,15.8788732394366,2026,202623
23,Non-live,Connectivity Questions,11,14.4857142857143,2026,202623
23,Non-live,Contact Update,2,9.3,2026,202623
23,Non-live,Content Update,33,17.0142857142857,2026,202623
23,Non-live,Customer Review Removal,17,21.4941176470588,2026,202623
23,Non-live,EVC,64,16.7222222222222,2026,202623
23,Non-live,Expedia Collect Invoice,53,17.2166666666667,2026,202623
23,Non-live,Hotel Closure Outreach,7,19.6285714285714,2026,202623
23,Non-live,Hotel Collect Issue,41,15.5470588235294,2026,202623
23,Non-live,Inventory Closeout,3,14.1,2026,202623
23,Non-live,Known Tool Outage Issue,4,25.2,2026,202623
23,Non-live,Live Site Investigation,6,44.76,2026,202623
23,Non-live,New Contract,2,18.9,2026,202623
23,Non-live,Partner Central Access,20,28.8,2026,202623
23,Non-live,Pre-Onboarding,3,6.0,2026,202623
23,Non-live,Promotion,15,19.14,2026,202623
23,Non-live,Property Classification,3,22.4,2026,202623
23,Non-live,Property Details,38,9.54193548387097,2026,202623
23,Non-live,Property Photos,1,187.2,2026,202623
23,Non-live,Property Settings,60,19.0625,2026,202623
23,Non-live,Rates & Inventory Changes,63,18.96,2026,202623
23,Non-live,Refund Request,81,13.3703703703704,2026,202623
23,Non-live,Room Type/Rate Plan,75,18.2949152542373,2026,202623
23,Non-live,Special Check-In Instructions,4,19.8,2026,202623
23,Non-live,Supplier Initiated Relocation,7,26.6,2026,202623
23,Non-live,Supplier Initiated Traveler Contact,744,8.88033946251768,2026,202623
23,Phone,Booking Information,156,23.4846153846154,2026,202623
23,Phone,Connectivity Questions,12,25.7,2026,202623
23,Phone,Contact Update,3,15.6,2026,202623
23,Phone,Content Update,45,27.8533333333333,2026,202623
23,Phone,Customer Review Removal,6,23.0,2026,202623
23,Phone,EVC,180,18.9833333333333,2026,202623
23,Phone,Expedia Collect Invoice,120,18.06,2026,202623
23,Phone,Hotel Collect Issue,151,18.8980132450331,2026,202623
23,Phone,Inventory Closeout,1,24.6,2026,202623
23,Phone,Known Tool Outage Issue,4,31.35,2026,202623
23,Phone,Live Site Investigation,8,26.475,2026,202623
23,Phone,New Contract,18,24.2,2026,202623
23,Phone,Partner Central Access,33,34.4727272727273,2026,202623
23,Phone,Pre-Onboarding,9,60.2666666666667,2026,202623
23,Phone,Promotion,20,21.3,2026,202623
23,Phone,Property Details,2,53.7,2026,202623
23,Phone,Property Photos,3,10.0,2026,202623
23,Phone,Property Settings,103,22.1184466019418,2026,202623
23,Phone,Rates & Inventory Changes,26,30.3923076923077,2026,202623
23,Phone,Refund Request,32,17.7,2026,202623
23,Phone,Room Type/Rate Plan,21,28.3428571428571,2026,202623
23,Phone,Supplier Initiated Relocation,78,16.9846153846154,2026,202623
23,Phone,Supplier Initiated Traveler Contact,884,14.3694570135747,2026,202623
24,Non-live,Account Takeover,4,20.85,2026,202624
24,Non-live,Booking Information,79,18.3,2026,202624
24,Non-live,Connectivity Questions,8,20.8285714285714,2026,202624
24,Non-live,Contact Update,2,23.7,2026,202624
24,Non-live,Content Update,80,15.34,2026,202624
24,Non-live,Customer Review Removal,22,18.1636363636364,2026,202624
24,Non-live,EVC,83,13.0936708860759,2026,202624
24,Non-live,Expedia Collect Invoice,59,16.1086956521739,2026,202624
24,Non-live,Hotel Closure Outreach,6,40.9,2026,202624
24,Non-live,Hotel Collect Issue,65,19.5310344827586,2026,202624
24,Non-live,Inventory Closeout,5,7.6,2026,202624
24,Non-live,Known Tool Outage Issue,3,6.0,2026,202624
24,Non-live,Live Site Investigation,8,16.6285714285714,2026,202624
24,Non-live,New Contract,2,9.0,2026,202624
24,Non-live,Partner Central Access,28,17.9555555555556,2026,202624
24,Non-live,Pre-Onboarding,5,25.05,2026,202624
